UC-ID | Name | Type | Primary Actor | Description | BF-ID | Relationship
UC-064 | Tạo yêu cầu báo giá (RFQ) | UI | Nhân viên Kinh doanh | Nhân viên Kinh doanh tạo yêu cầu báo giá (RFQ) mới từ nhu cầu khách hàng. |  | Mở đầu luồng RFQ → UC-078
UC-065 | Hệ thống tự động ghi nhận tiếp nhận RFQ | System | Hệ thống | Hệ thống tự động đánh dấu một RFQ mới tạo ở trạng thái đã tiếp nhận, sẵn sàng cho Kỹ thuật xử lý. |  | 
UC-066 | Mở màn xử lý dòng RFQ | UI | Kỹ thuật | Kỹ thuật mở workspace xử lý từng dòng RFQ: xác định sản phẩm, lập định mức, xác nhận kết quả. |  | Cửa vào chung cho UC-067 đến UC-072
UC-067 | Chọn sản phẩm có sẵn cho dòng RFQ | UI / System-assisted | Kỹ thuật | Kỹ thuật chọn một sản phẩm có sẵn cho dòng RFQ; hệ thống tự gợi ý sản phẩm đã từng gia công tương tự dựa trên tên, nhóm, khách hàng, kích thước. |  | 
UC-068 | Tạo sản phẩm mới từ màn xử lý RFQ | UI | Kỹ thuật | Kỹ thuật tạo sản phẩm mới ngay trong màn xử lý RFQ khi chưa có sản phẩm phù hợp; hệ thống cảnh báo nếu trùng/gần giống tên. | BF-02 | 
UC-069 | Tạo BOM mới từ màn xử lý RFQ | UI / System-assisted | Kỹ thuật | Kỹ thuật tạo BOM mới ngay trong màn xử lý RFQ. | BF-02 | 
UC-069A | Sinh định mức từ BOM mẫu tham số | UI / System-assisted | Kỹ thuật | Kỹ thuật sinh định mức từ BOM mẫu tham số bằng cách nhập giá trị tham số (kích thước); tái sử dụng BOM cũ nếu đã từng sinh đúng bộ tham số này. | BF-02 | 
UC-070 | Sửa BOM đã chọn qua phiên bản mới | UI | Kỹ thuật | Kỹ thuật sửa BOM đã chọn cho dòng RFQ bằng cách tạo một bản BOM mới (không sửa trực tiếp BOM chuẩn đang dùng). | BF-02 | 
UC-071 | Hoàn tất dòng RFQ (xác nhận kết quả xử lý kỹ thuật) | UI | Kỹ thuật | Kỹ thuật xác nhận hoàn tất kết quả xử lý kỹ thuật cho một dòng RFQ. |  | Có thể chuyển ngay sang dòng kế tiếp
UC-072 | Đánh dấu dòng RFQ không khả thi | UI | Kỹ thuật | Kỹ thuật đánh dấu một dòng RFQ không thể gia công/báo giá, kèm lý do. |  | 
UC-073 | Trả lại RFQ để bổ sung | UI | Kỹ thuật | Kỹ thuật trả lại RFQ (một hoặc nhiều dòng) cho Sales để bổ sung thông tin còn thiếu. |  | Đối lập với UC-074
UC-074 | Gửi lại RFQ sau bổ sung | UI | Nhân viên Kinh doanh | Nhân viên Kinh doanh bổ sung thông tin còn thiếu và gửi lại RFQ cho Kỹ thuật xử lý tiếp. |  | 
UC-075 | Xem lịch sử xử lý RFQ | UI / Report | Nhân viên Kinh doanh | Xem lại toàn bộ diễn biến xử lý của một yêu cầu báo giá. |  | 
UC-076 | Hủy RFQ | UI | Nhân viên Kinh doanh | Nhân viên Kinh doanh hủy một RFQ chưa lên báo giá chính thức. |  | 
UC-077 | Mở khu vực CRM & Báo giá (menu Báo giá / Phê duyệt / Đơn bán hàng) | UI | Nhân viên Kinh doanh | Truy cập các menu Báo giá / Phê duyệt / Đơn bán hàng (không có màn hub hợp nhất). |  | 
UC-078 | Tạo báo giá từ RFQ | UI / System-assisted | Nhân viên Kinh doanh | Nhân viên Kinh doanh tạo báo giá từ một RFQ đã xử lý xong; hệ thống tự tính giá từng dòng (vật tư + công đoạn + điều chỉnh + markup). | BF-03 | 
UC-079 | Điều chỉnh dòng báo giá | UI / System-assisted | Nhân viên Kinh doanh | Nhân viên Kinh doanh điều chỉnh số lượng/đơn giá dòng báo giá ở trạng thái Nháp; hệ thống tự đánh giá lại nhu cầu phê duyệt. | BF-03, BF-04 | 
UC-080 | Điều chỉnh chiết khấu và VAT của báo giá | UI / System-assisted | Nhân viên Kinh doanh | Nhân viên Kinh doanh điều chỉnh chiết khấu và VAT của báo giá; hệ thống gợi ý khoảng cho phép theo nhóm khách hàng. | BF-03 | 
UC-081 | Tái đánh giá và định tuyến yêu cầu phê duyệt báo giá | System | Hệ thống | Khi dữ liệu giá của báo giá thay đổi, hệ thống tự huỷ yêu cầu phê duyệt cũ (nếu còn) và đánh giá lại theo ma trận giá trị, mức chiết khấu, giá sàn để tạo yêu cầu phê duyệt mới nếu cần. | BF-04 | 
UC-082 | Xem phân tích giá thành & cấu phần giá | UI / Report | Kế toán nội bộ / Thủ kho | Xem phân tích giá thành và cấu phần giá của báo giá: lãi gộp, cơ cấu vật tư/công đoạn/chi phí chung, markup theo giá niêm yết và giá sàn. | BF-03 | 
UC-083 | Xử lý hòm Phê duyệt báo giá | UI | CEO | CEO/Trưởng phòng Kinh doanh xử lý hòm Phê duyệt báo giá: danh sách yêu cầu chờ/đã xử lý. | BF-04 | 
UC-084 | Ra quyết định trên yêu cầu duyệt báo giá | UI | CEO | CEO/Trưởng phòng Kinh doanh duyệt hoặc từ chối (bắt buộc nhập lý do) một yêu cầu phê duyệt báo giá. | BF-04 | 
UC-085 | Duyệt nội bộ báo giá | System | Hệ thống | Báo giá tự động chuyển sang Đã duyệt nội bộ ngay khi yêu cầu phê duyệt liên quan được duyệt (không phải thao tác riêng). | BF-04 | Gộp vào UC-084
UC-086 | Gửi báo giá cho khách hàng | UI | Nhân viên Kinh doanh | Nhân viên Kinh doanh gửi báo giá cho khách hàng; hệ thống tự đặt hạn hiệu lực mặc định, đính kèm PDF, cảnh báo thiếu MST/địa chỉ. |  | 
UC-087 | Cập nhật kết quả báo giá | UI | Nhân viên Kinh doanh | Nhân viên Kinh doanh cập nhật kết quả phản hồi của khách: đồng ý, rút lại đồng ý, hoặc từ chối (bắt buộc lý do). |  | 
UC-087A | Khách hàng yêu cầu điều chỉnh báo giá | UI | Nhân viên Kinh doanh | Ghi nhận yêu cầu điều chỉnh của khách hàng (giá/chiết khấu, vật liệu-kỹ thuật, hoặc giao hàng-điều khoản) và định hướng bước tiếp theo tương ứng. |  | Có thể chuyển lại cho Kỹ thuật (UC-073)
UC-088 | Tạo đơn bán hàng từ báo giá | UI | Nhân viên Kinh doanh | Nhân viên Kinh doanh tạo đơn bán hàng từ báo giá đã được khách đồng ý; snapshot dòng hàng, giá, định mức. |  | 
UC-089 | Quản lý vòng đời đơn bán hàng | UI | Nhân viên Kinh doanh | Quản lý vòng đời đơn bán hàng: Nháp → Xác nhận → Hoàn tất/Hủy; xác nhận đơn sẽ tự nâng cấp sản phẩm và khoá BOM liên quan. |  | Kích hoạt UC-046, UC-092A
UC-090 | Trang chủ điều hướng & badge phê duyệt | UI | Tất cả người dùng | Sau khi đăng nhập, hệ thống đưa người dùng vào thẳng màn phù hợp với vai trò; hiển thị badge số việc chờ phê duyệt. | BF-07 | 
UC-090A | Hàng đợi phiếu kho (landing riêng cho Thủ kho) | UI | Kế toán nội bộ / Thủ kho | Thủ kho đăng nhập vào thẳng danh sách các phiếu kho đang chờ xử lý (nhận/kiểm/chuyển/giao) thay vì màn Tồn kho. | BF-07 | Thay thế UC-090 cho vai trò Thủ kho
UC-091 | Ghi nhận nhận hàng NCC (bước 1/2) | UI / System-assisted | Kế toán nội bộ / Thủ kho | Thủ kho ghi nhận hàng về từ nhà cung cấp vào khu vực chờ kiểm; hệ thống tự cấp số lô nếu chưa nhập, tự sinh phiếu Kiểm & cất hàng kế tiếp. |  | 
UC-091A | Kiểm tra chất lượng hàng nhận & cất hàng (QC) | UI | Kế toán nội bộ / Thủ kho | Thủ kho kiểm tra chất lượng hàng nhận: nhập số lượng đạt/loại, lý do loại; hệ thống chặn xác nhận nếu số liệu không hợp lệ hoặc thiếu lô. |  | Bước 2/2 của UC-091
UC-091B | Xử lý phiếu trả hàng NCC (khi QC phát hiện hàng lỗi) | UI | Mua hàng | Mua hàng xử lý phiếu trả nhà cung cấp tự sinh khi Thủ kho phát hiện hàng lỗi ở bước kiểm. |  | Sinh ra từ UC-091A
UC-092 | Chuyển kho nội bộ | UI | Kế toán nội bộ / Thủ kho | Thủ kho ghi nhận chuyển vật tư/hàng hoá giữa các khu vực trong kho; có 2 nút tạo nhanh cho 2 tuyến thường dùng. |  | 
UC-092A | Tạo và xử lý phiếu giao hàng khách | UI | Kế toán nội bộ / Thủ kho | Tạo phiếu giao hàng trực tiếp từ đơn bán hàng đã xác nhận; Thủ kho xử lý phiếu, các vai trò khác chỉ bấm nút tạo. |  | Sau UC-089
UC-092B | Bán phế liệu thu hồi | UI | Kế toán nội bộ / Thủ kho | Thủ kho cân, ghi nhận và bán phế liệu thu hồi được từ khu vực sản xuất theo giá bán đã niêm yết. |  | 
UC-092C | Đối chiếu dự toán và thực tế thu hồi phế liệu | UI | Kế toán nội bộ / Thủ kho | So sánh khối lượng phế liệu dự toán (tính từ định mức các đơn đã chốt trong kỳ) với khối lượng thực tế đã cân được, theo từng tháng. |  | Dùng dữ liệu từ UC-044, UC-092B
UC-093 | Xem tồn kho hiện tại (cảnh báo tồn tối thiểu: xem JOB-04, chưa triển khai) | UI / Report | Kế toán nội bộ / Thủ kho | Xem danh sách tồn kho hiện tại theo sản phẩm/lô/vị trí, không hiển thị giá vốn. |  | Cảnh báo tồn tối thiểu: xem JOB-04, chưa triển khai
UC-094 | Kiểm kê và điều chỉnh tồn kho | UI | Kế toán nội bộ / Thủ kho | Thủ kho đếm thực tế và điều chỉnh số lượng tồn kho cho khớp; hệ thống tự sinh chứng từ điều chỉnh. |  | 
UC-095 | Kiểm tra khả dụng vật tư theo BOM (Planned — backlog giai đoạn sau, ATP) | Planned | — | Kiểm tra vật tư có đủ tồn kho để đáp ứng một BOM ngay khi lập báo giá — chưa triển khai, thuộc backlog giai đoạn sau. |  | 
UC-096 | Nhập kho thành phẩm theo BOM (Planned — backlog Lệnh sản xuất/B2, đã seed sẵn loại phiếu Xuất vật tư SX/Nhập thành phẩm, chưa có màn hình) | Planned | — | Nhập kho thành phẩm theo BOM khi hoàn tất sản xuất — chưa triển khai, đã seed sẵn loại phiếu nhưng chưa có màn hình/logic. |  | Thuộc backlog Lệnh sản xuất
UC-097 | Tính nhu cầu vật tư cho phiếu nhập kho theo BOM (Planned — gắn với UC-096) | Planned | — | Tự tính nhu cầu vật tư cho phiếu nhập kho theo BOM — chưa triển khai, gắn với UC-096. |  | 
UC-099 | Đăng xuất hệ thống | UI | Tất cả người dùng | Người dùng đăng xuất khỏi hệ thống. |  | 
UC-100 | Quên mật khẩu và đặt lại mật khẩu | UI | Tất cả người dùng | Người dùng quên mật khẩu nhận email kèm liên kết để tự đặt lại. |  | 
UC-101 | Đổi mật khẩu | UI | Tất cả người dùng | Người dùng tự đổi mật khẩu của mình sau khi đăng nhập. |  | 
UC-102 | Cảnh báo cấu hình tham số giá bất hợp lý (chưa triển khai đúng mô tả — chỉ cảnh báo thiếu cấu hình gây lỗi báo giá, xem FT-17) | System | Hệ thống | Hệ thống cảnh báo khi cấu hình tham số giá bị thiếu gây lỗi báo giá (chưa cảnh báo đúng nghĩa 'giá trị bất hợp lý' như tên gọi). | BF-06 | Xem FT-17
UC-103 | Kiểm tra trùng mã số thuế khi tạo hoặc sửa khách hàng | System | Hệ thống | Khi tạo hoặc sửa khách hàng, hệ thống rà trùng mã số thuế với các khách hàng/NCC khác, cho phép đánh dấu ngoại lệ khi là chi nhánh dùng chung MST. |  | 
UC-104 | Quản lý người liên hệ của đối tác | UI | Quản trị hệ thống | Quản lý người liên hệ (họ tên, chức vụ, điện thoại, email) gắn với một hồ sơ khách hàng — hiện chưa có ở hồ sơ nhà cung cấp. |  | 
UC-105 | Theo dõi trạng thái và tiến độ xử lý RFQ | UI / Report | Kỹ thuật | Theo dõi trạng thái và % tiến độ xử lý của từng yêu cầu báo giá. |  | 
UC-106 | Cảnh báo quá hạn xử lý RFQ | System | Hệ thống | Hệ thống tự tính số ngày chờ xử lý và cảnh báo khi RFQ quá hạn xử lý kỹ thuật. |  | 
UC-107 | Nhập điều khoản thương mại của báo giá | UI / System-assisted | Nhân viên Kinh doanh | Nhập điều khoản thương mại (thanh toán, giao hàng...) của báo giá. |  | 
