UC-046	Chuẩn hoá & nâng cấp sản phẩm khi đơn chốt	—	—	—	—	—	—	—
UC-047	Tự động ngừng sản phẩm nháp chưa sử dụng	—	—	—	—	—	—	—
UC-048	Rà soát bản sản phẩm nháp chưa sử dụng	No	No	No	No	Full	No	No
UC-049	Tạo bảng giá nhà cung cấp cho vật tư	No	No	No	No	No	Full	No
UC-050	Quản lý vòng đời bảng giá nhà cung cấp	No	No	No	No	No	Full	No
UC-051	Cấu hình hệ thống đo lường	Full	No	No	No	No	No	No
UC-052	Tra cứu danh mục sản phẩm, vật tư	No	Full	Full	No	No	No	No
UC-053	Tạo bản vẽ kỹ thuật	No	No	No	No	Full	No	No
UC-054	Chuyển trạng thái bản vẽ kỹ thuật	No	No	No	No	Full	No	No
UC-055	Tải lên và xem bản vẽ từ màn BOM	No	No	No	No	Full	No	No
UC-056	Tạo BOM cho sản phẩm	No	No	No	No	Full	No	No
UC-057	Thêm dòng vật tư vào BOM	No	No	No	No	Full	No	No
UC-057A	Thêm bán thành phẩm vào định mức	No	No	No	No	Full	No	No
UC-058	Tính định mức vật tư từ kích thước hình học	—	—	—	—	—	—	—
UC-059	Ghi đè số lượng định mức	No	No	No	No	Full	No	No
UC-060	Chuyển trạng thái BOM	No	No	No	No	Full	No	No
UC-060A	Tự động chuyển phiên bản hiện hành	—	—	—	—	—	—	—
UC-061	Tạo phiên bản BOM mới	No	No	No	No	Full	No	No
UC-062	Tạo BOM từ BOM mẫu	No	No	No	No	Full	No	No
UC-063	Quản lý BOM mẫu	No	No	No	No	Full	No	No
UC-063A	Khai tham số & ánh xạ kích thước cho BOM mẫu	No	No	No	No	Full	No	No
UC-064	Tạo yêu cầu báo giá (RFQ)	No	No	No	Full	No	No	No
UC-065	Hệ thống tự động ghi nhận tiếp nhận RFQ	—	—	—	—	—	—	—
UC-066	Mở màn xử lý dòng RFQ	No	No	No	No	Full	No	No
UC-067	Chọn sản phẩm có sẵn cho dòng RFQ	No	No	No	No	Full	No	No
UC-068	Tạo sản phẩm mới từ màn xử lý RFQ	No	No	No	No	Full	No	No
UC-069	Tạo BOM mới từ màn xử lý RFQ	No	No	No	No	Full	No	No
UC-069A	Sinh định mức từ BOM mẫu tham số	No	No	No	No	Full	No	No
UC-070	Sửa BOM đã chọn qua phiên bản mới	No	No	No	No	Full	No	No
UC-071	Hoàn tất dòng RFQ (xác nhận kết quả xử lý kỹ thuật)	No	No	No	No	Full	No	No
UC-072	Đánh dấu dòng RFQ không khả thi	No	No	No	No	Full	No	No
UC-073	Trả lại RFQ để bổ sung	No	No	No	No	Full	No	No
UC-074	Gửi lại RFQ sau bổ sung	No	No	No	Full	No	No	No
UC-075	Xem lịch sử xử lý RFQ	No	No	No	Full	No	No	No
UC-076	Hủy RFQ	No	No	No	Full	No	No	No
UC-077	Mở khu vực CRM & Báo giá (menu Báo giá / Phê duyệt / Đơn bán hàng)	No	No	No	Full	No	No	No
UC-078	Tạo báo giá từ RFQ	No	No	No	Full	No	No	No
UC-079	Điều chỉnh dòng báo giá	No	No	No	Full	No	No	No
UC-080	Điều chỉnh chiết khấu và VAT của báo giá	No	No	No	Full	No	No	No
UC-081	Tái đánh giá và định tuyến yêu cầu phê duyệt báo giá	—	—	—	—	—	—	—
UC-082	Xem phân tích giá thành & cấu phần giá	No	Full	Full	No	No	Full	No
UC-083	Xử lý hòm Phê duyệt báo giá	No	Full	Restricted	No	No	No	No
UC-084	Ra quyết định trên yêu cầu duyệt báo giá	No	Full	Restricted	No	No	No	No
UC-085	Duyệt nội bộ báo giá	—	—	—	—	—	—	—
UC-086	Gửi báo giá cho khách hàng	No	No	No	Full	No	No	No
UC-087	Cập nhật kết quả báo giá	No	No	No	Full	No	No	No
UC-087A	Khách hàng yêu cầu điều chỉnh báo giá	No	No	No	Full	No	No	No
UC-088	Tạo đơn bán hàng từ báo giá	No	No	No	Full	No	No	No
UC-089	Quản lý vòng đời đơn bán hàng	No	No	No	Full	No	No	No
UC-090	Trang chủ điều hướng & badge phê duyệt	Full	Full	Full	Full	Full	Full	Full
UC-090A	Hàng đợi phiếu kho (landing riêng cho Thủ kho)	No	No	No	No	No	Full	No
UC-091	Ghi nhận nhận hàng NCC (bước 1/2)	No	No	No	No	No	Full	Restricted
UC-091A	Kiểm tra chất lượng hàng nhận & cất hàng (QC)	No	No	No	No	No	Full	No
UC-091B	Xử lý phiếu trả hàng NCC (khi QC phát hiện hàng lỗi)	No	No	No	No	No	Restricted	Full
UC-092	Chuyển kho nội bộ	No	No	No	No	No	Full	No
UC-092A	Tạo và xử lý phiếu giao hàng khách	No	Restricted	Restricted	Restricted	No	Full	No
UC-092B	Bán phế liệu thu hồi	No	No	No	No	No	Full	No
UC-092C	Đối chiếu dự toán và thực tế thu hồi phế liệu	No	Full	No	No	Restricted	Full	No
UC-093	Xem tồn kho hiện tại (cảnh báo tồn tối thiểu: xem JOB-04, chưa triển khai)	Full	Full	Full	Restricted	Restricted	Full	Restricted
UC-094	Kiểm kê và điều chỉnh tồn kho	No	No	No	No	No	Full	No
UC-095	Kiểm tra khả dụng vật tư theo BOM (Planned — backlog giai đoạn sau, ATP)	No	No	No	Restricted	No	No	No
UC-096	Nhập kho thành phẩm theo BOM (Planned — backlog Lệnh sản xuất/B2, đã seed sẵn loại phiếu Xuất vật tư SX/Nhập thành phẩm, chưa có màn hình)	No	No	No	No	No	Full	No
UC-097	Tính nhu cầu vật tư cho phiếu nhập kho theo BOM (Planned — gắn với UC-096)	No	No	No	No	No	No	No
UC-099	Đăng xuất hệ thống	Full	Full	Full	Full	Full	Full	Full
UC-100	Quên mật khẩu và đặt lại mật khẩu	Full	Full	Full	Full	Full	Full	Full
UC-101	Đổi mật khẩu	Full	Full	Full	Full	Full	Full	Full
UC-102	Cảnh báo cấu hình tham số giá bất hợp lý (chưa triển khai đúng mô tả — chỉ cảnh báo thiếu cấu hình gây lỗi báo giá, xem FT-17)	—	—	—	—	—	—	—
UC-103	Kiểm tra trùng mã số thuế khi tạo hoặc sửa khách hàng	—	—	—	—	—	—	—
UC-104	Quản lý người liên hệ của đối tác	Full	Restricted	Restricted	Restricted	No	Restricted	Restricted
UC-105	Theo dõi trạng thái và tiến độ xử lý RFQ	Full	Full	Full	Full	Full	No	No
UC-106	Cảnh báo quá hạn xử lý RFQ	—	—	—	—	—	—	—
UC-107	Nhập điều khoản thương mại của báo giá	Full	Restricted	Full	Full	No	No	No
UC-108	Cảnh báo thiếu thông tin khách hàng khi gửi báo giá	—	—	—	—	—	—	—
UC-109	Quản lý hạn hiệu lực báo giá	Full	Restricted	Full	Full	No	No	No
UC-110	Giám sát và nhắc việc quá hạn phê duyệt báo giá	Full	Full	Restricted	Restricted	Restricted	Restricted	No
UC-111	Cảnh báo trùng tên khi tạo sản phẩm	—	—	—	—	—	—	—
UC-112	Cảnh báo và theo dõi vật tư chưa có giá nhà cung cấp	Full	Restricted	Restricted	No	Restricted	Restricted	Full
UC-113	Tự động cập nhật giá vốn sản phẩm theo bảng giá nhà cung cấp	—	—	—	—	—	—	—
UC-114	Phát lệnh sản xuất	Full	No	No	No	Full	No	No
UC-115	Theo dõi trạng thái lệnh sản xuất	Full	Restricted	No	No	Full	No	No
UC-116	Lập kế hoạch sản xuất theo hạn giao hàng	Full	No	No	No	Full	No	No
UC-117	Tổng quan sản xuất cho quản lý	Full	Full	Restricted	No	Restricted	No	No
UC-118	Bảng tổng quan báo cáo quản trị	Full	Full	Full	No	No	No	No
