UC-ID | Use Case | Type
UC-071 | Hoàn tất dòng RFQ (xác nhận kết quả xử lý kỹ thuật) | UI
UC-072 | Đánh dấu dòng RFQ không khả thi | UI
UC-073 | Trả lại RFQ để bổ sung | UI
UC-074 | Gửi lại RFQ sau bổ sung | UI
UC-075 | Xem lịch sử xử lý RFQ | UI / Report
UC-076 | Hủy RFQ | UI
UC-077 | Mở khu vực CRM & Báo giá (menu Báo giá / Phê duyệt / Đơn bán hàng) | UI
UC-078 | Tạo báo giá từ RFQ | UI / System-assisted
UC-079 | Điều chỉnh dòng báo giá | UI / System-assisted
UC-080 | Điều chỉnh chiết khấu và VAT của báo giá | UI / System-assisted
UC-081 | Tái đánh giá và định tuyến yêu cầu phê duyệt báo giá | System
UC-082 | Xem phân tích giá thành & cấu phần giá | UI / Report
UC-083 | Xử lý hòm Phê duyệt báo giá | UI
UC-084 | Ra quyết định trên yêu cầu duyệt báo giá | UI
UC-085 | Duyệt nội bộ báo giá | System
UC-086 | Gửi báo giá cho khách hàng | UI
UC-087 | Cập nhật kết quả báo giá | UI
UC-087A | Khách hàng yêu cầu điều chỉnh báo giá | UI
UC-088 | Tạo đơn bán hàng từ báo giá | UI
UC-089 | Quản lý vòng đời đơn bán hàng | UI
UC-090 | Trang chủ điều hướng & badge phê duyệt | UI
UC-090A | Hàng đợi phiếu kho (landing riêng cho Thủ kho) | UI
UC-091 | Ghi nhận nhận hàng NCC (bước 1/2) | UI / System-assisted
UC-091A | Kiểm tra chất lượng hàng nhận & cất hàng (QC) | UI
UC-091B | Xử lý phiếu trả hàng NCC (khi QC phát hiện hàng lỗi) | UI
UC-092 | Chuyển kho nội bộ | UI
UC-092A | Tạo và xử lý phiếu giao hàng khách | UI
UC-092B | Bán phế liệu thu hồi | UI
UC-092C | Đối chiếu dự toán và thực tế thu hồi phế liệu | UI
UC-093 | Xem tồn kho hiện tại (cảnh báo tồn tối thiểu: xem JOB-04, chưa triển khai) | UI / Report
UC-094 | Kiểm kê và điều chỉnh tồn kho | UI
UC-095 | Kiểm tra khả dụng vật tư theo BOM (Planned — backlog giai đoạn sau, ATP) | Planned
UC-096 | Nhập kho thành phẩm theo BOM (Planned — backlog Lệnh sản xuất/B2, đã seed sẵn loại phiếu Xuất vật tư SX/Nhập thành phẩm, chưa có màn hình) | Planned
UC-097 | Tính nhu cầu vật tư cho phiếu nhập kho theo BOM (Planned — gắn với UC-096) | Planned
UC-099 | Đăng xuất hệ thống | UI
UC-100 | Quên mật khẩu và đặt lại mật khẩu | UI
UC-101 | Đổi mật khẩu | UI
UC-102 | Cảnh báo cấu hình tham số giá bất hợp lý (chưa triển khai đúng mô tả — chỉ cảnh báo thiếu cấu hình gây lỗi báo giá, xem FT-17) | System
UC-103 | Kiểm tra trùng mã số thuế khi tạo hoặc sửa khách hàng | System
UC-104 | Quản lý người liên hệ của đối tác | UI
UC-105 | Theo dõi trạng thái và tiến độ xử lý RFQ | UI / Report
UC-106 | Cảnh báo quá hạn xử lý RFQ | System
UC-107 | Nhập điều khoản thương mại của báo giá | UI / System-assisted
UC-108 | Cảnh báo thiếu thông tin khách hàng khi gửi báo giá | System
UC-109 | Quản lý hạn hiệu lực báo giá | UI
UC-110 | Giám sát và nhắc việc quá hạn phê duyệt báo giá | UI / Report
UC-111 | Cảnh báo trùng tên khi tạo sản phẩm | System
UC-112 | Cảnh báo và theo dõi vật tư chưa có giá nhà cung cấp | UI
UC-113 | Tự động cập nhật giá vốn sản phẩm theo bảng giá nhà cung cấp | System
UC-114 | Phát lệnh sản xuất | UI
UC-115 | Theo dõi trạng thái lệnh sản xuất | UI / Report
UC-116 | Lập kế hoạch sản xuất theo hạn giao hàng | UI
UC-117 | Tổng quan sản xuất cho quản lý | UI / Report
UC-118 | Bảng tổng quan báo cáo quản trị | UI / Report
